"","A","B","C","D","E","RMSE","ID"
"63",-19.7434101739606,48892379.3711016,108.012493373242,2.98253646793187,0,1.00279452787298,63
"64",-17.4876241201889,30998333.8566077,98.5416923133193,2.9662612446185,0,0.598356744111885,64
"65",-19.8066334975557,53790391.0351996,108.920637596846,2.9974515088497,0,1.00288066637835,65
"66",-19.8319572307858,48403669.2199059,108.22428589974,2.97900860099008,0,1.00277481523774,66
"67",-13.9184202186729,32639879.3377302,96.1593379935318,2.98158951657201,2,0.468139762221394,67
"68",-10.2653296449295,25368879.5414128,86.1466648611663,2.99938860232792,3,0.257030870816035,68
"69",-18.6735061403188,40422634.9446092,101.069905585164,2.99132994639745,0,0.656173596714469,69
"70",-18.7090981499334,39194409.3023859,103.140199606579,2.96319302766862,1,0.50104187867758,70
"71",NA,NA,NA,NA,NA,NA,71
"72",-16.2990929011192,50653983.0824655,102.589237110674,2.94608180989515,1,1.04296514967519,72
"73",NA,NA,NA,NA,NA,NA,73
"74",NA,NA,NA,NA,NA,NA,74
"75",-17.3660408958438,74816093.3654451,111.352372527968,2.99840372516763,0,0.683614730949038,75
"76",-16.0290268573421,51774085.2823626,101.99168708938,2.95462598432598,1,1.04311020475874,76
"77",-17.0283985960304,59991711.1600081,106.491802392399,2.96705310788306,1,0.913083032111655,77
"78",NA,NA,NA,NA,NA,NA,78
"79",NA,NA,NA,NA,NA,NA,79
"80",NA,NA,NA,NA,NA,NA,80
"81",NA,NA,NA,NA,NA,NA,81
"82",-12.8946160872173,44611689.6649789,95.5723000639945,2.97855646098819,2,0.753606338446614,82
"83",-15.4353994089623,19903965.8589089,92.2281946091192,2.7948264665091,2,0.823517165176169,83
"84",-15.9725197393266,46071953.6581971,97.6982357504519,2.96526454741887,0,0.805141850197979,84
"85",-8.11158647079617,20534726.6962449,78.8518931746504,2.95104587700476,3,1.11000293751653,85
"86",-8.11158647079617,20534726.6962449,78.8518931746504,2.95104587700476,3,1.11000293751653,86
"87",-5.20270841378446,12806130.6847305,68.8991953959091,2.91409966396915,5,1.19502376626354,87
"88",-5.20270841378446,12806130.6847305,68.8991953959091,2.91409966396915,5,1.19502376626354,88
"89",-29.5573946144693,142695808.419567,140.288296212401,2.97393068808037,2,0.518844110666221,89
"90",-6.1127889732246,12070013.6610611,65.7072137687794,2.95128356415201,2,0.982700416600487,90
"91",-5.52315265125208,15214668.3088857,69.8129931745741,2.95596124866906,4,1.23302062484031,91
"92",-4.54398516629261,13594949.5555379,69.3085454405448,2.93456551551199,4,1.23250431867976,92
"93",-5.31380673490528,20345138.6662118,78.422370430423,2.94281059548888,5,1.11404212820937,93
"94",-6.42454451583492,17613887.2278108,77.8146283216024,2.91478488157534,4,1.11315475708133,94
"95",-1.63781982875887,15679903.1071192,74.8147773618215,2.90885849293637,7,1.48556691445006,95
"96",-2.10938137272328,18695234.7841109,74.2274305237346,2.95437021372239,6,1.48604678609216,96
"97",-4.90518105317862,10295543.8446882,66.4834068126013,2.91712517446093,2,0.858706283438682,97
"98",-4.90518105317862,10295543.8446882,66.4834068126013,2.91712517446093,2,0.858706283438682,98
"99",-4.62984668048007,13433469.9693931,69.6029726566083,2.92928789786377,4,1.23253357003237,99
"100",-4.62984668048007,13433469.9693931,69.6029726566083,2.92928789786377,4,1.23253357003237,100
"101",-5.73216219167436,17956363.6584988,71.9821569860375,2.97471319348766,3,1.06324431222011,101
